model,delta,loss_mse_vs_ref,n_shifted_gates,value_Mz,ref_Mz,value_XX_bond_avg,ref_XX_bond_avg,value_YY_bond_avg,ref_YY_bond_avg,value_ZZ_bond_avg,ref_ZZ_bond_avg,value_E_bond,ref_E_bond
heisenberg,-4.766092405350053,0.0007738389080465111,60.0,0.6765829590264246,0.7169876017330581,-0.008582530803637717,-0.012074758238173989,-0.020477624452277732,-0.006957070082509616,0.4939058369606472,0.5109487851385262,0.4648456817047318,0.49191695681784253
ising,-4.766092405350053,0.0001375741176470578,20.0,0.9048,0.8996400000000001,8.972118539440278e-20,-6.219055028315628e-20,8.972118539440236e-20,-5.28725821232346e-20,0.7975,0.791,0.7975,0.791
heisenberg,-4.509813624746714,0.00036537900759559216,60.0,0.6959343593141737,0.7169876017330581,0.0002160988406582525,-0.012074758238173989,-0.0068926188573603855,-0.006957070082509616,0.5089401046015791,0.5109487851385262,0.502263584584877,0.49191695681784253
ising,-4.509813624746714,8.63294117647051e-06,20.0,0.9012,0.8996400000000001,-3.1720206618276554e-35,-6.219055028315628e-20,3.1720206618276554e-35,-5.28725821232346e-20,0.7895,0.791,0.7895,0.791
heisenberg,-4.267313672525386,0.00018607868301145103,60.0,0.7214460813020065,0.7169876017330581,-0.003245720165423256,-0.012074758238173989,-0.003917020619430958,-0.006957070082509616,0.5272709266695936,0.5109487851385262,0.5201081858847394,0.49191695681784253
ising,-4.267313672525386,7.663294117647074e-05,20.0,0.9019999999999999,0.8996400000000001,4.979775502872808e-35,-6.219055028315628e-20,1.0254867238825042e-34,-5.28725821232346e-20,0.7925,0.791,0.7925,0.791
heisenberg,-4.037851638860891,8.423908606384117e-05,60.0,0.714380037953535,0.7169876017330581,-0.013582212299931489,-0.012074758238173989,-0.008428801034409381,-0.006957070082509616,0.5048018115555716,0.5109487851385262,0.4827907982212307,0.49191695681784253
ising,-4.037851638860891,4.453882352941159e-05,20.0,0.9048,0.8996400000000001,-3.4797751190980816e-20,-6.219055028315628e-20,-3.479775119098089e-20,-5.28725821232346e-20,0.7995,0.791,0.7995,0.791
heisenberg,-3.820726448665623,0.000610382258481367,60.0,0.7474211216520515,0.7169876017330581,-0.009885730387030273,-0.012074758238173989,-0.005390221568837474,-0.006957070082509616,0.5451580178605042,0.5109487851385262,0.5298820659046365,0.49191695681784253
ising,-3.820726448665623,7.385647058823528e-05,20.0,0.9036,0.8996400000000001,-8.413983158286198e-20,-6.219055028315628e-20,-1.1217793841485212e-19,-5.28725821232346e-20,0.802,0.791,0.802,0.791
heisenberg,-3.615274719595643,0.0014350370616615692,60.0,0.7339587489128855,0.7169876017330581,-0.0013936892832196888,-0.012074758238173989,-0.0006817514276407333,-0.006957070082509616,0.5139308846412572,0.5109487851385262,0.5118554439303968,0.49191695681784253
ising,-3.615274719595643,3.211529411764727e-05,20.0,0.8984,0.8996400000000001,2.1761850356442627e-35,-6.219055028315628e-20,-2.1761850356442627e-35,-5.28725821232346e-20,0.7945,0.791,0.7945,0.791
heisenberg,-3.420868735219366,0.0023107353588418503,60.0,0.7175626922253329,0.7169876017330581,-0.0036523603361086317,-0.012074758238173989,-0.001570000224273389,-0.006957070082509616,0.47969297953914025,0.5109487851385262,0.47447061897875825,0.49191695681784253
ising,-3.420868735219366,0.00023512705882352953,20.0,0.9048,0.8996400000000001,4.286497236125358e-35,-6.219055028315628e-20,-2.581029723070301e-34,-5.28725821232346e-20,0.8085,0.791,0.8085,0.791
heisenberg,-3.2369145271562667,0.00013372720143060355,60.0,0.7253010904469355,0.7169876017330581,-0.012761030133652589,-0.012074758238173989,-0.009635591432194234,-0.006957070082509616,0.5212616664610631,0.5109487851385262,0.49886504489521627,0.49191695681784253
ising,-3.2369145271562667,0.0003040682352941179,20.0,0.8855999999999999,0.8996400000000001,-2.0010518140879624e-34,-6.219055028315628e-20,-2.1016144436390047e-34,-5.28725821232346e-20,0.7615,0.791,0.7615,0.791
heisenberg,-3.0628500603259736,9.301730110376511e-05,60.0,0.7144591572240842,0.7169876017330581,-0.012151168095842178,-0.012074758238173989,-0.007356542786560005,-0.006957070082509616,0.5079647390585975,0.5109487851385262,0.48845702817619535,0.49191695681784253
ising,-3.0628500603259736,8.185647058823508e-05,20.0,0.9076000000000001,0.8996400000000001,6.246949643205773e-22,-6.219055028315628e-20,-6.24694964320596e-22,-5.28725821232346e-20,0.803,0.791,0.803,0.791
heisenberg,-2.898143515763133,0.00011424148176148684,60.0,0.7133631529091967,0.7169876017330581,-0.005561612954214107,-0.012074758238173989,-0.006871274605641697,-0.006957070082509616,0.5199416715180724,0.5109487851385262,0.5075087839582165,0.49191695681784253
