mode,model,delta,loss_mse_vs_ref,n_shifted_gates
xx,heisenberg,-0.6156995793524987,0.29686674826086884,20.0
xx,ising,-0.6156995793524987,2.169882352941189e-05,0.0
xx,heisenberg,-0.5824824345397914,0.3217808614249185,20.0
xx,ising,-0.5824824345397914,0.00011689882352941148,0.0
xx,heisenberg,-0.5510449476395575,0.3209809362114897,20.0
xx,ising,-0.5510449476395575,9.426352941176494e-05,0.0
xx,heisenberg,-0.5212910677342194,0.31199305730231397,20.0
xx,ising,-0.5212910677342194,0.00015271058823529413,0.0
xx,heisenberg,-0.49312988782871514,0.3028226346938355,20.0
xx,ising,-0.49312988782871514,8.824000000000008e-05,0.0
xx,heisenberg,-0.4664753671024611,0.28421654413912756,20.0
xx,ising,-0.4664753671024611,0.00019369882352941197,0.0
xx,heisenberg,-0.4412460680289316,0.2637232813988877,20.0
xx,ising,-0.4412460680289316,1.9534117647058758e-05,0.0
xx,heisenberg,-0.41736490755967726,0.2436668632628636,20.0
xx,ising,-0.41736490755967726,9.576941176470646e-05,0.0
xx,heisenberg,-0.3947589216125771,0.2251319982661781,20.0
xx,ising,-0.3947589216125771,0.00032433411764705927,0.0
xx,heisenberg,-0.37335904214476,0.20247613593687386,20.0
xx,ising,-0.37335904214476,0.00011421647058823527,0.0
xx,heisenberg,-0.35309988612909526,0.17571693673444463,20.0
xx,ising,-0.35309988612909526,0.00013336941176470595,0.0
xx,heisenberg,-0.3339195557895036,0.1612822363917976,20.0
xx,ising,-0.3339195557895036,9.892235294117637e-05,0.0
xx,heisenberg,-0.3157594494847533,0.14370039186898736,20.0
xx,ising,-0.3157594494847533,7.736941176470577e-05,0.0
xx,heisenberg,-0.2985640826629329,0.12318960719961529,20.0
xx,ising,-0.2985640826629329,0.00016814588235294166,0.0
xx,heisenberg,-0.2822809183395641,0.10827778206801254,20.0
xx,ising,-0.2822809183395641,0.0006000988235294114,0.0
xx,heisenberg,-0.26686020658141324,0.0952652768713057,20.0
xx,ising,-0.26686020658141324,0.0005627811764705893,0.0
xx,heisenberg,-0.25225483250557745,0.08016087263032011,20.0
xx,ising,-0.25225483250557745,1.1440000000000167e-05,0.0
xx,heisenberg,-0.2384201723294368,0.0712648666476929,20.0
xx,ising,-0.2384201723294368,2.7110588235294167e-05,0.0
xx,heisenberg,-0.22531395703166326,0.058485911862575624,20.0
xx,ising,-0.22531395703166326,6.616941176470581e-05,0.0
xx,heisenberg,-0.21289614320772793,0.050531518586318075,20.0
xx,ising,-0.21289614320772793,8.645176470588262e-05,0.0
xx,heisenberg,-0.2011287907253334,0.04549545920593697,20.0
xx,ising,-0.2011287907253334,0.00016965176470588257,0.0
xx,heisenberg,-0.18997594680597096,0.03543330209083851,20.0
xx,ising,-0.18997594680597096,0.00022056941176470618,0.0
xx,heisenberg,-0.17940353617843807,0.029514784558721266,20.0
xx,ising,-0.17940353617843807,0.00046692235294117703,0.0
xx,heisenberg,-0.1693792569687013,0.027097334710931457,20.0
xx,ising,-0.1693792569687013,0.00015864000000000055,0.0
xx,heisenberg,-0.15987248200801774,0.021476071476912488,20.0
xx,ising,-0.15987248200801774,0.00010320470588235361,0.0
xx,heisenberg,-0.15085416525778153,0.017960758303144336,20.0
xx,ising,-0.15085416525778153,9.35576470588236e-05,0.0
xx,heisenberg,-0.14229675306519543,0.014054648862510587,20.0
xx,ising,-0.14229675306519543,0.0002508752941176468,0.0
xx,heisenberg,-0.13417409997862736,0.012991204661106176,20.0
xx,ising,-0.13417409997862736,0.0002660282352941185,0.0
xx,heisenberg,-0.1264613888654419,0.010114737697910853,20.0
xx,ising,-0.1264613888654419,8.485176470588227e-05,0.0
xx,heisenberg,-0.11913505508824354,0.008070467375093262,20.0
xx,ising,-0.11913505508824354,4.692235294117641e-05,0.0
xx,heisenberg,-0.11217271450786699,0.005606309879340864,20.0
xx,ising,-0.11217271450786699,3.049882352941174e-05,0.0
xx,heisenberg,-0.10555309509314288,0.006166144774222161,20.0
xx,ising,-0.10555309509314288,0.00021148705882352982,0.0
xx,heisenberg,-0.09925597192848501,0.004976684905548414,20.0
xx,ising,-0.09925597192848501,0.00022165176470588283,0.0
xx,heisenberg,-0.09326210542072925,0.003573832940717194,20.0
xx,ising,-0.09326210542072925,0.00014729882352941195,0.0
xx,heisenberg,-0.08755318251642662,0.0031774402412096192,20.0
xx,ising,-0.08755318251642662,5.4875294117647215e-05,0.0
xx,heisenberg,-0.08211176074999206,0.0022423620789967327,20.0
xx,ising,-0.08211176074999206,6.038117647058825e-05,0.0
xx,heisenberg,-0.07692121495175952,0.002014816310821569,20.0
xx,ising,-0.07692121495175952,0.00011609882352941203,0.0
xx,heisenberg,-0.07196568645312007,0.0022109415378759943,20.0
xx,ising,-0.07196568645312007,8.273411764705861e-05,0.0
xx,heisenberg,-0.06723003463355003,0.0011313524244694671,20.0
xx,ising,-0.06723003463355003,0.0002640517647058824,0.0
xx,heisenberg,-0.06269979066149038,0.0013040041814209912,20.0
xx,ising,-0.06269979066149038,0.00018367529411764742,0.0
xx,heisenberg,-0.058361113287742565,0.0009144889267153171,20.0
xx,ising,-0.058361113287742565,0.00023129882352941212,0.0
xx,heisenberg,-0.05420074655631531,0.00106603314235589,20.0
xx,ising,-0.05420074655631531,0.00011402823529411752,0.0
xx,heisenberg,-0.05020597930351803,0.0006155222788975216,20.0
xx,ising,-0.05020597930351803,5.41694117647059e-05,0.0
xx,heisenberg,-0.04636460632155667,0.0005809135791318557,20.0
xx,ising,-0.04636460632155667,0.00023153411764705885,0.0
xx,heisenberg,-0.04266489106797654,0.000618270843524372,20.0
xx,ising,-0.04266489106797654,0.00021228705882352986,0.0
xx,heisenberg,-0.03909552980701752,0.000393413058202258,20.0
xx,ising,-0.03909552980701752,0.00021459294117647066,0.0
xx,heisenberg,-0.0356456170733233,0.000519504401937299,20.0
xx,ising,-0.0356456170733233,5.50635294117646e-05,0.0
xx,heisenberg,-0.03230461235248556,0.0013774509833377625,20.0
xx,ising,-0.03230461235248556,9.765176470588255e-05,0.0
xx,heisenberg,-0.029062307876622468,0.000308516056343184,20.0
xx,ising,-0.029062307876622468,0.00013845176470588254,0.0
xx,heisenberg,-0.025908797436597037,0.00029043074390801293,20.0
xx,ising,-0.025908797436597037,9.60517647058824e-05,0.0
xx,heisenberg,-0.022834446115588027,0.0003064027295299134,20.0
xx,ising,-0.022834446115588027,0.0001302164705882353,0.0
xx,heisenberg,-0.019829860851539437,0.0002536564840501848,20.0
xx,ising,-0.019829860851539437,0.0001420282352941181,0.0
xx,heisenberg,-0.01688586173854889,0.00016639044263370772,20.0
xx,ising,-0.01688586173854889,0.0002192988235294117,0.0
