mode,delta,loss_mse
xx,-0.14229675306519543,0.14413240385801956
xx,-0.13417409997862736,0.13256719096670852
xx,-0.1264613888654419,0.11511682478375672
xx,-0.11913505508824354,0.12992858592127554
xx,-0.11217271450786699,0.10771862165801246
xx,-0.10555309509314288,0.11321067617771739
xx,-0.09925597192848501,0.10358208292657599
xx,-0.09326210542072925,0.09797086195264512
xx,-0.08755318251642662,0.10468494172942247
xx,-0.08211176074999206,0.1012758731514097
xx,-0.07692121495175952,0.10410320919079885
xx,-0.07196568645312007,0.09466138131784671
xx,-0.06723003463355003,0.10095077511630601
xx,-0.06269979066149038,0.0860009857939273
xx,-0.058361113287742565,0.09203056759447997
xx,-0.05420074655631531,0.09014733775967919
xx,-0.05020597930351803,0.0787782066710217
xx,-0.04636460632155667,0.08189410235554621
xx,-0.04266489106797654,0.08143828492004569
xx,-0.03909552980701752,0.0848929714128628
xx,-0.0356456170733233,0.08466345820474308
xx,-0.03230461235248556,0.07623525943979012
xx,-0.029062307876622468,0.07940909323612651
xx,-0.025908797436597037,0.07934677734873832
xx,-0.022834446115588027,0.0704646903118112
xx,-0.019829860851539437,0.07350530626844842
xx,-0.01688586173854889,0.0744558020652136
xx,-0.01399345397951167,0.08145725905767716
xx,-0.01114380040432747,0.0868597577772319
xx,-0.008328194469704743,0.07634494813948742
xx,-0.005538033658069007,0.08464595342380325
xx,-0.0027647931943008217,0.08250942315736824
xx,0.0,0.08193232558128867
xx,0.0027647931943008217,0.07681968866845011
xx,0.005538033658069052,0.07926805732780162
xx,0.00832819446970479,0.0823035074356323
xx,0.011143800404327516,0.07735864418321442
xx,0.013993453979511718,0.08384824816741973
xx,0.016885861738548936,0.08143498556771323
xx,0.019829860851539437,0.07334692016706243
xx,0.022834446115588027,0.08309701769152736
xx,0.025908797436597037,0.07251068135801819
xx,0.029062307876622468,0.07676892108525024
xx,0.03230461235248561,0.08881210924566968
xx,0.03564561707332336,0.08741586948481872
xx,0.03909552980701758,0.09017847000458344
xx,0.04266489106797659,0.08541582523807956
xx,0.046364606321556735,0.0909450675253075
xx,0.05020597930351803,0.08771639508742106
xx,0.05420074655631531,0.08606459620759217
xx,0.058361113287742565,0.08308789209819951
xx,0.06269979066149045,0.0844586213953028
xx,0.0672300346335501,0.08881214495410275
xx,0.07196568645312015,0.09072182757526867
xx,0.0769212149517596,0.08290214067884517
xx,0.08211176074999216,0.10012853583511827
xx,0.08755318251642662,0.09745972003790225
xx,0.09326210542072925,0.09582640010310979
xx,0.09925597192848501,0.10593774361036846
xx,0.10555309509314288,0.11224111891313426
xx,0.11217271450786703,0.10344791758303697
xx,0.11913505508824361,0.11271338912914708
xx,0.12646138886544203,0.1203666459666873
xx,0.1341740999786275,0.12852042000084393
xx,0.1422967530651956,0.11933134711688839
xx,0.15085416525778153,0.1356783596020004
xx,0.1598724820080178,0.15245876092540794
xx,0.16937925696870137,0.16336393181449266
xx,0.17940353617843813,0.17623822175195725
xx,0.18997594680597105,0.18478942982942984
xx,0.20112879072533352,0.19134543872467424
xx,0.2128961432077281,0.21053537482935514
xx,0.22531395703166346,0.22754345070596474
xx,0.2384201723294368,0.2471851051550289
xx,0.25225483250557745,0.26780074398252485
xx,0.26686020658141335,0.2932334836729711
xx,0.2822809183395642,0.31643620370276243
xx,0.298564082662933,0.3463230508710043
xx,0.31575944948475315,0.38328008891672943
xx,0.3339195557895039,0.40290118170583566
xx,0.35309988612909526,0.43833798854901734
xx,0.37335904214476034,0.47274307054384945
xx,0.3947589216125771,0.5173100160169568
xx,0.4173649075596779,0.536364379222291
xx,0.4412460680289318,0.5654680240807359
xx,0.46647536710246174,0.5962132943030625
xx,0.49312988782871536,0.5954252572463798
xx,0.5212910677342192,0.6103262839019569
xx,0.5510449476395579,0.5981855978962631
xx,0.5824824345397914,0.5716967638562577
